picture,individual,length,notes
NP10_05-6,2,248.342,
NP10_05-7,1,198.966,
NP10_06-1,1,257.262,
NP10_06-1,2,261.605,
NP10_06-1,3,219.689,
NP10_06-2,1,306.298,
NP10_06-2,2,268.24,
NP10_06-2,3,242.421,
NP10_06-3,1,192.212,
NP10_06-3,2,170.984,
NP10_06-4,1,236.135,
NP10_06-4,2,217.142,
NP10_06-4,3,291.064,
NP15_01-1,1,141.657,
NP15_01-1,2,325.916,
NP15_01-1,3,272.003,
NP15_01-2,1,376.47,
NP15_01-3,1,378.699,
NP15_01-4,1,377.333,
NP15_01-4,2,431.323,
NP15_01-5,1,380.321,
NP15_01-6,1,455.889,
NP15_01-7,1,434.08,
NP15_01-8,1,440.983,
NP15_01-8,2,444.64,
NP15_02-1,1,409.572,
NP15_02-2,1,210.056,
NP15_02-2,2,257.265,
NP15_02-3,1,469.005,
NP15_02-4,1,397.067,
NP15_02-5,1,340.692,
NP15_02-5,2,323.194,
NP15_02-6,1,404.472,
NP15_02-7,1,360.802,
NP15_02-8,1,389.711,
NP15_02-8,2,283.92,
NP15_04-1,1,388.748,
NP15_04-2,1,371.389,
NP15_04-3,1,308.448,
NP15_04-4,1,299.584,
NP15_04-5,1,393.262,
NP15_04-5,2,436.308,
NP15_04-6,1,437.604,
NP15_04-6,2,434.067,
NP15_04-7,1,378.537,
NP15_04-8,1,308.598,
NP15_04-9,1,392.214,
NP15_05-1,1,443.433,
NP15_05-2,1,440.413,
NP15_05-3,1,434.941,
NP15_05-3,2,360.471,
NP15_05-4,1,473.26,
NP15_05-4,2,327.442,
NP15_05-5,1,428.973,
NP15_05-6,1,378.728,
NP15_05-7,1,476.727,
NP15_05-8,1,373.198,
NP15_05-9,1,476.26,
NP15_06-1,1,494.112,
NP15_06-2,1,559.095,
NP15_06-3,1,402.873,
NP15_06-4,1,451.693,
NP15_06-4,2,384.333,
NP15_06-5,1,310.941,
NP15_06-6,1,424.262,
NP15_06-6,2,368.717,
NP15_06-6,3,318.405,
NP15_06-6,4,326.6,
NP20_01-1,1,538.316,
NP20_01-2,1,518.233,
NP20_01-3,1,329.236,
NP20_01-4,1,373.776,
NP20_01-5,1,506.63,
NP20_01-6,1,526.215,
NP20_01-7,1,468.575,
NP20_01-8,1,533.164,
NP20_01-9,1,543.949,
NP20_01-10,1,500.844,
NP20_02-1,1,478.609,
NP20_02-2,1,506.706,picture named NP_02-20001
NP20_02-3,1,483.693,
NP20_02-4,1,479.828,
NP20_02-5,1,393.822,
NP20_02-6,1,478.825,
NP20_02-7,1,518.729,
NP20_02-7,2,463.438,
NP20_02-9,1,537.781,
NP20_02-10,1,432.005,
NP20_03-1,1,159.049,
NP20_03-3,1,317.949,
NP20_03-4,1,409.826,
NP20_04-1,1,496.866,
NP20_04-2,1,216.004,
NP20_04-3,1,496.532,
NP20_04-4,1,262.136,
NP20_04-5,1,483.191,
NP20_04-6,1,285.025,
NP20_04-6,2,339.069,
NP20_04-6,3,471.211,
NP20_04-7,1,386.529,
NP20_04-8,1,538.463,
NP20_04-9,1,393.999,
NP20_04-10,1,398.701,
NP20_05-1,1,480.754,
NP20_05-2,1,274.929,
NP20_05-3,1,532.312,
NP20_05-4,1,572.719,
NP20_05-5,1,489.464,
NP20_05-6,1,348.891,
NP20_05-8,1,562.901,
NP20_05-9,1,528.547,
NP20_05-10,1,482.725,picture named NP29_05-100001
NP20_06-1,1,501.645,
NP20_06-1,2,509.922,
NP20_06-2,1,448.269,
NP20_06-2,2,490.946,
NP20_06-3,1,465.185,
NP20_06-4,1,507.168,
NP20_06-5,1,460.83,
NP20_06-5,2,420.455,
NP20_06-6,1,65.004,
NP20_06-7,1,162.629,
NP25_01-1,1,74.872,
NP25_01-2,1,111.402,
NP25_01-3,1,91.201,
NP25_01-5,1,87.607,
NP25_01-7,1,53.538,
NP25_01-7,2,26.637,
NP25_03-1,1,202.195,
NP25_03-2,1,108.583,
NP25_03-4,1,166.912,
NP25_03-5,1,243.307,
NP25_03-5,2,100.226,
NP25_03-6,1,192.964,
NP25_03-6,2,152.282,
NP25_03-7,1,75.842,
NP25_03-7,2,83.528,
NP25_03-8,1,172.596,
NP25_03-9,1,244.477,
NP25_03-10,1,245.055,
NP25_04-1,1,491.968,
NP25_04-4,1,305.961,
NP25_04-4,2,24.195,
NP25_04-5,1,172.138,
NP25_04-6,1,195.995,
NP25_04-7,1,115.235,
NP25_04-7,2,203.913,
NP25_04-8,1,207.197,
NP25_04-9,1,205.899,
NP25_05-2,1,157.036,
NP25_02-7,1,21.086,
NP25_06-1,1,37.425,
NP25_06-3,1,110.378,
NP25_06-3,2,14.723,
NP25_06-6,1,59.025,
NP25_06-9,1,157.558,
NP30_01-1,,110.05,
