Jan-17,,
Day,Time,Height
,,(m)
26,7:12 PM,5
27,12:36 AM,3.3
27,5:22 AM,4.5
27,12:39 PM,0.4
27,8:01 PM,5.1
28,1:34 AM,3.4
28,6:08 AM,4.4
28,1:25 PM,0.5
28,8:51 PM,5.1
29,2:37 AM,3.4
29,6:59 AM,4.2
29,2:12 PM,0.7
29,9:42 PM,5
30,3:47 AM,3.2
30,7:58 AM,3.9
30,3:01 PM,0.9
30,10:33 PM,5
31,4:58 AM,3
31,9:08 AM,3.7
31,3:52 PM,1.3
31,11:24 PM,4.9
Jun-17,,
Day,Time,Height
,,(m)
1,6:06 AM,2.8
1,10:36 AM,3.4
1,4:47 PM,1.7
2,12:12 AM,4.8
2,7:09 AM,2.4
2,12:14 PM,3.4
2,5:50 PM,2.2
3,12:57 AM,4.7
3,8:03 AM,2.1
3,1:45 PM,3.5
3,7:00 PM,2.5
4,1:38 AM,4.6
4,8:49 AM,1.8
4,3:07 PM,3.7
4,8:10 PM,2.8
5,2:14 AM,4.5
5,9:28 AM,1.6
5,4:14 PM,4
5,9:14 PM,3.1
6,2:47 AM,4.5
6,10:03 AM,1.3
6,5:08 PM,4.2
6,10:11 PM,3.2
7,3:18 AM,4.4
7,10:35 AM,1.2
7,5:52 PM,4.5
7,11:02 PM,3.4
8,3:48 AM,4.3
8,11:05 AM,1.1
8,6:31 PM,4.6
8,11:48 PM,3.5
9,4:17 AM,4.3
9,11:35 AM,1
9,7:07 PM,4.7
10,12:30 AM,3.5
10,4:48 AM,4.2
10,12:06 PM,0.9
10,7:41 PM,4.8
11,1:11 AM,3.6
11,5:22 AM,4.1
11,12:39 PM,0.9
11,8:15 PM,4.8
12,1:53 AM,3.5
12,6:00 AM,4.1
12,1:15 PM,1
12,8:51 PM,4.8
13,2:41 AM,3.4
13,6:43 AM,3.9
13,1:53 PM,1.1
13,9:29 PM,4.8
14,3:35 AM,3.3
14,7:33 AM,3.8
14,2:35 PM,1.2
14,10:10 PM,4.8
15,4:34 AM,3.1
15,8:34 AM,3.6
15,3:20 PM,1.4
15,10:53 PM,4.7
16,5:33 AM,2.9
16,9:54 AM,3.4
16,4:09 PM,1.8
16,11:37 PM,4.7
17,6:31 AM,2.5
17,11:30 AM,3.4
17,5:05 PM,2.1
18,12:19 AM,4.7
18,7:24 AM,2.2
18,1:01 PM,3.5
18,6:10 PM,2.5
19,12:59 AM,4.7
19,8:12 AM,1.7
19,2:24 PM,3.7
19,7:22 PM,2.8
20,1:36 AM,4.7
20,8:56 AM,1.3
20,3:38 PM,4.1
20,8:32 PM,3.1
21,2:12 AM,4.7
21,9:37 AM,1
21,4:42 PM,4.4
21,9:38 PM,3.4
22,2:50 AM,4.7
22,10:18 AM,0.7
22,5:35 PM,4.7
22,10:40 PM,3.5
23,3:30 AM,4.7
23,10:59 AM,0.5
23,6:23 PM,4.9
23,11:38 PM,3.5
24,4:14 AM,4.6
24,11:40 AM,0.3
24,7:08 PM,5.1
25,12:33 AM,3.5
25,5:03 AM,4.5
25,12:23 PM,0.4
25,7:52 PM,5.1
26,1:29 AM,3.4
26,5:57 AM,4.4
26,1:08 PM,0.5
26,8:34 PM,5.1
27,2:28 AM,3.2
27,6:54 AM,4.2
27,1:52 PM,0.8
27,9:16 PM,5.1
28,3:27 AM,3
28,7:54 AM,3.9
28,2:37 PM,1.1
28,9:58 PM,5
29,4:28 AM,2.8
29,9:02 AM,3.7
29,3:23 PM,1.6
29,10:40 PM,4.9
30,5:28 AM,2.5
30,10:22 AM,3.5
30,4:11 PM,2
30,11:22 PM,4.8
Jul-17,,
Day,Time,Height
,,(m)
1,6:27 AM,2.2
1,11:56 AM,3.4
1,5:06 PM,2.5
2,12:05 AM,4.6
2,7:22 AM,2
2,1:36 PM,3.5
2,6:13 PM,2.9
3,12:46 AM,4.5
3,8:12 AM,1.7
3,3:04 PM,3.7
3,7:34 PM,3.2
4,1:25 AM,4.4
4,8:54 AM,1.5
4,4:11 PM,4
4,8:50 PM,3.4
5,2:01 AM,4.3
5,9:32 AM,1.3
5,5:02 PM,4.3
5,9:55 PM,3.5
6,2:35 AM,4.3
6,10:06 AM,1.2
6,5:43 PM,4.5
6,10:48 PM,3.6
7,3:10 AM,4.3
7,10:38 AM,1
7,6:19 PM,4.6
7,11:31 PM,3.6
8,3:45 AM,4.3
8,11:10 AM,1
8,6:50 PM,4.7
9,12:09 AM,3.6
9,4:23 AM,4.2
9,11:42 AM,0.9
9,7:19 PM,4.8
10,12:45 AM,3.5
10,5:05 AM,4.2
10,12:16 PM,0.9
10,7:49 PM,4.8
11,1:23 AM,3.4
11,5:49 AM,4.1
11,12:52 PM,1
11,8:20 PM,4.9
12,2:06 AM,3.3
12,6:38 AM,4.1
12,1:31 PM,1.1
12,8:54 PM,4.9
13,2:54 AM,3.1
13,7:31 AM,3.9
13,2:11 PM,1.3
13,9:29 PM,4.9
14,3:46 AM,2.8
14,8:32 AM,3.8
14,2:54 PM,1.6
14,10:06 PM,4.8
15,4:40 AM,2.5
15,9:46 AM,3.6
15,3:42 PM,1.9
15,10:45 PM,4.8
16,5:36 AM,2.2
16,11:14 AM,3.6
16,4:34 PM,2.4
16,11:25 PM,4.7
17,6:34 AM,1.9
17,12:47 PM,3.7
17,5:37 PM,2.8
18,12:07 AM,4.7
18,7:31 AM,1.5
18,2:17 PM,3.9
18,6:54 PM,3.2
19,12:51 AM,4.6
19,8:24 AM,1.1
19,3:36 PM,4.2
19,8:18 PM,3.5
20,1:36 AM,4.6
20,9:13 AM,0.9
20,4:38 PM,4.5
20,9:35 PM,3.6
21,2:24 AM,4.6
21,9:59 AM,0.6
21,5:28 PM,4.7
21,10:39 PM,3.6
22,3:14 AM,4.6
22,10:43 AM,0.5
22,6:11 PM,4.9
22,11:33 PM,3.5
23,4:08 AM,4.5
23,11:26 AM,0.5
23,6:50 PM,5
24,12:24 AM,3.3
24,5:04 AM,4.4
24,12:09 PM,0.6
24,7:27 PM,5.1
25,1:13 AM,3.1
25,6:01 AM,4.3
25,12:51 PM,0.8
25,8:04 PM,5.1
26,2:03 AM,2.9
26,6:57 AM,4.2
26,1:34 PM,1.1
26,8:39 PM,5
27,2:54 AM,2.7
27,7:54 AM,4
27,2:16 PM,1.5
27,9:15 PM,4.9
28,3:45 AM,2.5
28,8:55 AM,3.8
28,2:58 PM,1.9
28,9:52 PM,4.8
29,4:38 AM,2.3
29,10:06 AM,3.6
29,3:42 PM,2.4
29,10:29 PM,4.6
30,5:32 AM,2.1
30,11:33 AM,3.6
30,4:33 PM,2.8
30,11:09 PM,4.5
31,6:29 AM,1.9
31,1:14 PM,3.6
31,5:37 PM,3.1
31,11:52 PM,4.3
Aug-17,,
Day,Time,Height
,,(m)
1,7:23 AM,1.8
1,2:44 PM,3.8
1,7:09 PM,3.4
2,12:36 AM,4.2
2,8:13 AM,1.6
2,3:50 PM,4.1
2,8:37 PM,3.5
3,1:21 AM,4.2
3,8:56 AM,1.5
3,4:38 PM,4.3
3,9:42 PM,3.6
4,2:04 AM,4.1
4,9:35 AM,1.3
4,5:17 PM,4.4
4,10:31 PM,3.6
5,2:47 AM,4.2
5,10:11 AM,1.2
5,5:49 PM,4.5
5,11:08 PM,3.5
6,3:31 AM,4.2
6,10:46 AM,1.1
6,6:17 PM,4.6
6,11:41 PM,3.4
7,4:16 AM,4.2
7,11:20 AM,1.1
7,6:43 PM,4.7
8,12:13 AM,3.3
8,5:03 AM,4.3
8,11:55 AM,1.1
8,7:11 PM,4.8
9,12:48 AM,3.1
9,5:50 AM,4.3
9,12:31 PM,1.2
9,7:40 PM,4.8
10,1:28 AM,2.9
10,6:40 AM,4.2
10,1:10 PM,1.3
10,8:10 PM,4.8
11,2:12 AM,2.6
11,7:32 AM,4.2
11,1:50 PM,1.6
11,8:43 PM,4.8
12,2:59 AM,2.4
12,8:32 AM,4.1
12,2:34 PM,1.9
12,9:16 PM,4.8
13,3:50 AM,2.1
13,9:41 AM,3.9
13,3:22 PM,2.3
13,9:52 PM,4.7
14,4:44 AM,1.8
14,11:02 AM,3.9
14,4:16 PM,2.7
14,10:33 PM,4.6
15,5:44 AM,1.6
15,12:33 PM,4
15,5:22 PM,3.1
15,11:19 PM,4.5
16,6:49 AM,1.3
16,2:04 PM,4.1
16,6:50 PM,3.4
17,12:15 AM,4.4
17,7:52 AM,1.1
17,3:19 PM,4.4
17,8:26 PM,3.5
18,1:17 AM,4.4
