site,code,ibutton_no,date_time,date,time,temperature
ruckle,1,r1.,2018-06-25T22:36:00Z,2018-06-25T07:00:00Z,22:36:00,12
ruckle,1,r1.,2018-06-25T23:06:00Z,2018-06-25T07:00:00Z,23:06:00,12
ruckle,1,r1.,2018-06-25T23:36:00Z,2018-06-25T07:00:00Z,23:36:00,12
ruckle,1,r1.,2018-06-26T00:06:00Z,2018-06-26T07:00:00Z,00:06:00,12
ruckle,1,r1.,2018-06-26T00:36:00Z,2018-06-26T07:00:00Z,00:36:00,12
ruckle,1,r1.,2018-06-26T01:06:00Z,2018-06-26T07:00:00Z,01:06:00,12
ruckle,1,r1.,2018-06-26T01:36:00Z,2018-06-26T07:00:00Z,01:36:00,12
ruckle,1,r1.,2018-06-26T02:06:00Z,2018-06-26T07:00:00Z,02:06:00,12
ruckle,1,r1.,2018-06-26T02:36:00Z,2018-06-26T07:00:00Z,02:36:00,12
ruckle,1,r1.,2018-06-26T03:06:00Z,2018-06-26T07:00:00Z,03:06:00,12
ruckle,1,r1.,2018-06-26T03:36:00Z,2018-06-26T07:00:00Z,03:36:00,12
ruckle,1,r1.,2018-06-26T04:06:00Z,2018-06-26T07:00:00Z,04:06:00,12
ruckle,1,r1.,2018-06-26T04:36:00Z,2018-06-26T07:00:00Z,04:36:00,12
ruckle,1,r1.,2018-06-26T05:06:00Z,2018-06-26T07:00:00Z,05:06:00,12
ruckle,1,r1.,2018-06-26T05:36:00Z,2018-06-26T07:00:00Z,05:36:00,12
ruckle,1,r1.,2018-06-26T06:06:00Z,2018-06-26T07:00:00Z,06:06:00,12
ruckle,1,r1.,2018-06-26T06:36:00Z,2018-06-26T07:00:00Z,06:36:00,12
ruckle,1,r1.,2018-06-26T07:06:00Z,2018-06-26T07:00:00Z,07:06:00,12
ruckle,1,r1.,2018-06-26T07:36:00Z,2018-06-26T07:00:00Z,07:36:00,12
ruckle,1,r1.,2018-06-26T08:06:00Z,2018-06-26T07:00:00Z,08:06:00,13.5
ruckle,1,r1.,2018-06-26T08:36:00Z,2018-06-26T07:00:00Z,08:36:00,19.5
ruckle,1,r1.,2018-06-26T09:06:00Z,2018-06-26T07:00:00Z,09:06:00,24
ruckle,1,r1.,2018-06-26T09:36:00Z,2018-06-26T07:00:00Z,09:36:00,19.5
ruckle,1,r1.,2018-06-26T10:06:00Z,2018-06-26T07:00:00Z,10:06:00,20
ruckle,1,r1.,2018-06-26T10:36:00Z,2018-06-26T07:00:00Z,10:36:00,23.5
ruckle,1,r1.,2018-06-26T11:06:00Z,2018-06-26T07:00:00Z,11:06:00,29
ruckle,1,r1.,2018-06-26T11:36:00Z,2018-06-26T07:00:00Z,11:36:00,27
ruckle,1,r1.,2018-06-26T12:06:00Z,2018-06-26T07:00:00Z,12:06:00,27
