site,temp,length,rep
NP,20,572.719,05
NP,20,489.464,05
NP,20,348.891,05
NP,20,562.901,05
NP,20,528.547,05
NP,20,482.725,05
NP,20,501.645,06
NP,20,509.922,06
NP,20,448.269,06
NP,20,490.946,06
NP,20,465.185,06
NP,20,507.168,06
NP,20,460.83,06
NP,20,420.455,06
NP,20,65.004,06
NP,20,162.629,06
NP,25,74.872,01
NP,25,111.402,01
NP,25,91.201,01
NP,25,87.607,01
NP,25,53.538,01
NP,25,26.637,01
NP,25,202.195,03
NP,25,108.583,03
NP,25,166.912,03
NP,25,243.307,03
NP,25,100.226,03
NP,25,192.964,03
NP,25,152.282,03
NP,25,75.842,03
NP,25,83.528,03
NP,25,172.596,03
NP,25,244.477,03
NP,25,245.055,03
NP,25,102.062,04
NP,25,305.961,04
NP,25,24.195,04
NP,25,172.138,04
NP,25,195.995,04
NP,25,115.235,04
NP,25,203.913,04
NP,25,207.197,04
NP,25,205.899,04
NP,25,157.036,05
NP,25,21.086,02
NP,25,37.425,06
NP,25,110.378,06
NP,25,14.723,06
NP,25,59.025,06
NP,25,157.558,06
NP,30,55.025,01
BI,25,0,1
BI,25,0,2
BI,25,0,3
BI,25,0,4
BI,25,0,5
BI,25,0,6
BI,25,0,1
BI,25,0,2
BI,25,0,3
BI,25,0,4
BI,25,0,5
BI,25,0,6
BI,25,0,1
BI,25,0,2
BI,25,0,3
BI,25,0,4
BI,25,0,5
BI,25,0,6
BI,25,0,1
BI,25,0,2
BI,25,0,3
BI,25,0,4
BI,25,0,5
BI,25,0,6
BI,25,0,1
BI,25,0,2
BI,25,0,3
BI,25,0,4
BI,25,0,5
BI,25,0,6
BI,25,0,1
BI,25,0,2
BI,25,0,3
BI,25,0,4
BI,25,0,5
BI,25,0,6
BI,25,0,1
BI,25,0,2
BI,25,0,3
BI,25,0,4
BI,25,0,5
BI,25,0,6
BI,25,0,1
BI,25,0,2
BI,25,0,3
BI,25,0,4
BI,25,0,5
BI,25,0,6
BI,25,0,1
BI,25,0,2
BI,25,0,3
BI,25,0,4
BI,25,0,5
BI,25,0,6
BI,25,0,1
BI,25,0,2
BI,25,0,3
BI,25,0,4
BI,25,0,5
BI,25,0,6
BI,30,0,1
BI,30,0,2
BI,30,0,3
BI,30,0,4
BI,30,0,5
BI,30,0,6
BI,30,0,1
BI,30,0,2
BI,30,0,3
BI,30,0,4
BI,30,0,5
BI,30,0,6
BI,30,0,1
BI,30,0,2
BI,30,0,3
BI,30,0,4
BI,30,0,5
BI,30,0,6
BI,30,0,1
BI,30,0,2
